OriginalTicker,CleanedTicker,YahooTicker,Exchange,Company,URL
STAR A,STAR-A,STAR-A.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/STAR-A.ST
STAR B,STAR-B,STAR-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/STAR-B.ST
STWK,STWK,STWK,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/STWK
SVIK,SVIK,SVIK.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/SVIK.ST
SVED B,SVED-B,SVED-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/SVED-B.ST
SYNACT,SYNACT,SYNACT.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/SYNACT.ST
TOBII,TOBII,TOBII.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/TOBII.ST
TRAD,TRAD,TRAD,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/TRAD
TRANS,TRANS,TRANS.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/TRANS.ST
VICO,VICO,VICO.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/VICO.ST
VIVE,VIVE,VIVE,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/VIVE
WTW A,WTW-A,WTW-A.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/WTW-A.ST
WISE,WISE,WISE,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/WISE
WBGR B,WBGR-B,WBGR-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/WBGR-B.ST
XBRANE,XBRANE,XBRANE.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/XBRANE.ST
XSPRAY,XSPRAY,XSPRAY.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/XSPRAY.ST
