Tickersymbol,YahooTicker,YahooExchange,CompanyName,size_category,Exchange
INSTAL,INSTAL,US Markets (default),Yahoo Finance,Mid Cap,
INTEA B,INTEA-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
INTEA D,INTEA-D.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
INTRUM,INTRUM.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
IVSO,IVSO,US Markets (default),Yahoo Finance,Mid Cap,
INWI,INWI.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
ITAB,ITAB.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
JOMA,JOMA.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
KFAST B,KFAST-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
KABE B,KABE-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
KAR,KAR,US Markets (default),Yahoo Finance,Mid Cap,
KLARA B,KLARA-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
KNOW,KNOW,US Markets (default),Yahoo Finance,Mid Cap,
LIME,LIME,US Markets (default),Yahoo Finance,Mid Cap,
LINC,LINC,US Markets (default),Yahoo Finance,Mid Cap,
LOGI A,LOGI-A.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
LOGI B,LOGI-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
MCAP,MCAP,US Markets (default),Yahoo Finance,Mid Cap,
MEKO,MEKO.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
MILDEF,MILDEF.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
MMGR B,MMGR-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
MTG A,MTG-A.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
MTG B,MTG-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
NMAN,NMAN.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
NEOBO,NEOBO.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
NETI B,NETI-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
NIVI B,NIVI-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
NOBI,NOBI,US Markets (default),Yahoo Finance,Mid Cap,
NPAPER,NPAPER.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
NORION,NORION.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
NORVA,NORVA.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
NOTE,NOTE,US Markets (default),Yahoo Finance,Mid Cap,
ORRON,ORRON.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
PLAZ B,PLAZ-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
PCELL,PCELL.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
PRIC B,PRIC-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
PRISMA,PRISMA.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
PACT,PACT,US Markets (default),Yahoo Finance,Mid Cap,
PRFO,PRFO.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
RATO A,RATO-A.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
RATO B,RATO-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
RAY B,RAY-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
REJL B,REJL-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
RESURS,RESURS.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
RVRC,RVRC,US Markets (default),Yahoo Finance,Mid Cap,
RROS,RROS.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
RUSTA,RUSTA.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
SBB B,SBB-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
SBB D,SBB-D.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
SCST,SCST,US Markets (default),Yahoo Finance,Mid Cap,
SHOT,SHOT,US Markets (default),Yahoo Finance,Mid Cap,
SDIP B,SDIP-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
SDIP PREF,SDIP-PREF.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
SEDANA,SEDANA.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
SKIS B,SKIS-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
STEF B,STEF-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
SFAST,SFAST.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
SF,SF,US Markets (default),Yahoo Finance,Mid Cap,
SVOL A,SVOL-A.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
SVOL B,SVOL-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
SLP B,SLP-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
SYNSAM,SYNSAM.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
TFBANK,TFBANK.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
TRAC B,TRAC-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
TRIAN B,TRIAN-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
VBG B,VBG-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
VEFAB,VEFAB.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
VESTUM,VESTUM.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
VPLAY A,VPLAY-A.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
VPLAY B,VPLAY-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
VISC,VISC,US Markets (default),Yahoo Finance,Mid Cap,
VNV,VNV,US Markets (default),Yahoo Finance,Mid Cap,
VOLO,VOLO.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
VOLO PREF,VOLO-PREF.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
XANO B,XANO-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
XVIVO,XVIVO.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
ORES,ORES.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
AAK,AAK.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
ABB,ABB.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
ALIF B,ALIF-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
ANOD B,ANOD-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
ADDT B,ADDT-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
AFRY,AFRY.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
